9.010472499998286
2.8970114000258036
         317214 function calls (312951 primitive calls) in 15.372 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       99    0.002    0.000    0.019    0.000 sre_parse.py:96(closegroup)
       65    0.002    0.000    0.003    0.000 enum.py:484(_find_data_type)
      100    0.002    0.000    0.004    0.000 sre_parse.py:432(_uniq)
       53    0.002    0.000    0.004    0.000 typing.py:172(_collect_type_vars)
      122    0.002    0.000    0.003    0.000 ssl.py:134(<lambda>)
      172    0.002    0.000    0.003    0.000 sre_parse.py:168(__setitem__)
       65    0.002    0.000    0.006    0.000 enum.py:473(_get_mixins_)
        1    0.002    0.002    0.041    0.041 tokenize.py:1(<module>)
      134    0.002    0.000    0.005    0.000 enum.py:557(__new__)
      207    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
       69    0.002    0.000    0.003    0.000 os.py:746(encode)
       96    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
       47    0.002    0.000    0.030    0.001 <frozen importlib._bootstrap_external>:1252(_path_hooks)
      164    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
       55    0.002    0.000    0.007    0.000 abc.py:84(__new__)
       47    0.002    0.000    0.010    0.000 <frozen zipimport>:63(__init__)
        1    0.002    0.002    0.136    0.136 _pslinux.py:5(<module>)
       60    0.002    0.000    0.003    0.000 sre_parse.py:224(__init__)
       23    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
      165    0.002    0.000    0.002    0.000 enum.py:457(<lambda>)
       69    0.002    0.000    0.006    0.000 os.py:668(__getitem__)
       88    0.002    0.000    0.003    0.000 six.py:141(__init__)
        1    0.002    0.002    0.003    0.003 quoprimime.py:5(<module>)
      197    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
        3    0.002    0.001    0.004    0.001 tokenize.py:83(_all_string_prefixes)
      166    0.002    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
       13    0.002    0.000    0.249    0.019 enum.py:434(_convert_)
       61    0.002    0.000    0.002    0.000 __init__.py:214(_acquireLock)
        1    0.002    0.002    0.003    0.003 token.py:74(<dictcomp>)
      100    0.002    0.000    0.002    0.000 {built-in method fromkeys}
       47    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
       25    0.001    0.000    0.004    0.000 enum.py:505(_find_new_)
       30    0.001    0.000    0.003    0.000 sre_compile.py:411(_mk_bitmap)
       39    0.001    0.000    0.003    0.000 sre_compile.py:492(_get_charset_prefix)
       38    0.001    0.000    0.011    0.000 adb.py:129(with_device)
      134    0.001    0.000    0.001    0.000 six.py:88(__init__)
       41    0.001    0.000    0.003    0.000 __init__.py:1392(__init__)
      143    0.001    0.000    0.001    0.000 sre_compile.py:65(_combine_flags)
        1    0.001    0.001    0.042    0.042 typing.py:1(<module>)
        2    0.001    0.001    0.216    0.108 __init__.py:7(<module>)
        2    0.001    0.001    0.003    0.001 __init__.py:1360(_clear_cache)
        1    0.001    0.001    0.003    0.003 _compat_pickle.py:9(<module>)
        1    0.001    0.001    0.011    0.011 opcode.py:2(<module>)
       55    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       60    0.001    0.000    0.002    0.000 sre_parse.py:921(fix_flags)
      131    0.001    0.000    0.001    0.000 {built-in method builtins.locals}
    26/25    0.001    0.000    0.287    0.011 <frozen importlib._bootstrap>:406(spec_from_loader)
        2    0.001    0.001    0.001    0.001 {method 'isatty' of '_io.TextIOWrapper' objects}
       38    0.001    0.000    0.016    0.000 log.py:628(getLogger)
      117    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
       48    0.001    0.000    0.002    0.000 re.py:268(escape)
      121    0.001    0.000    0.001    0.000 sre_compile.py:453(_get_iscased)
      120    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
        1    0.001    0.001    0.003    0.003 misc.py:325(register_sizes)
       69    0.001    0.000    0.002    0.000 __init__.py:16(<lambda>)
        7    0.001    0.000    0.003    0.000 _parser.py:315(_convert)
       43    0.001    0.000    0.015    0.000 __init__.py:2003(getLogger)
       25    0.001    0.000    0.006    0.000 enum.py:119(__prepare__)
      132    0.001    0.000    0.001    0.000 {method 'items' of 'mappingproxy' objects}
       61    0.001    0.000    0.002    0.000 __init__.py:223(_releaseLock)
       59    0.001    0.000    0.002    0.000 __init__.py:21(__new__)
        1    0.001    0.001    0.011    0.011 io_controller.py:58(test_json)
       30    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:872(_resolve_name)
      120    0.001    0.000    0.001    0.000 opcode.py:39(def_op)
       60    0.001    0.000    0.656    0.011 re.py:248(compile)
        1    0.001    0.001    0.008    0.008 config.py:1(<module>)
        1    0.001    0.001    0.013    0.013 pickle.py:197(<listcomp>)
       30    0.001    0.000    2.476    0.083 __init__.py:109(import_module)
       31    0.001    0.000    0.009    0.000 __init__.py:1418(LocalContext)
       30    0.001    0.000    2.474    0.082 <frozen importlib._bootstrap>:1002(_gcd_import)
       23    0.001    0.000    0.002    0.000 posixpath.py:71(join)
        1    0.001    0.001    0.037    0.037 pdb.py:3(<module>)
       36    0.001    0.000    0.003    0.000 config.py:76(__init__)
       33    0.001    0.000    0.010    0.000 _pslinux.py:1508(wrap_exceptions)
      110    0.001    0.000    0.001    0.000 {built-in method builtins.globals}
       96    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
       56    0.001    0.000    0.001    0.000 os.py:750(decode)
        1    0.001    0.001    0.033    0.033 packing.py:2(<module>)
        1    0.001    0.001    0.003    0.003 _psposix.py:60(<listcomp>)
       53    0.001    0.000    0.002    0.000 tube.py:1403(make_wrapper)
       46    0.001    0.000    0.001    0.000 six.py:105(__init__)
        1    0.001    0.001    0.001    0.001 lists.py:1(<module>)
       45    0.001    0.000    0.002    0.000 {built-in method builtins.any}
       60    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       23    0.001    0.000    0.002    0.000 key.py:49(__init__)
       47    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       47    0.001    0.000    0.001    0.000 __init__.py:189(_checkLevel)
       97    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
        1    0.001    0.001    0.153    0.153 adb.py:1(<module>)
       81    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
       97    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
        3    0.001    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.001    0.001    0.014    0.014 registers.py:1(<module>)
        1    0.001    0.001    0.002    0.002 configparser.py:1317(__init__)
       30    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
       14    0.001    0.000    0.005    0.000 unix_termcap.py:11(get)
       12    0.001    0.000    0.002    0.000 textwrap.py:414(dedent)
        1    0.001    0.001    0.013    0.013 encoder.py:1(<module>)
        2    0.001    0.000    0.145    0.073 enums.py:9(<module>)
        1    0.001    0.001    0.005    0.005 datatypes.py:32(<module>)
        1    0.001    0.001    0.001    0.001 process.py:40(<dictcomp>)
