multi-process
multiprocess: 41.77098410000326
         908427 function calls (763618 primitive calls) in 44.810 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       53    0.001    0.000    0.002    0.000 tube.py:1403(make_wrapper)
        1    0.001    0.001    0.026    0.026 packing.py:2(<module>)
       47    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       50    0.001    0.000    0.001    0.000 posixpath.py:41(_get_sep)
       75    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
       31    0.001    0.000    0.009    0.000 __init__.py:1418(LocalContext)
        4    0.001    0.000    0.008    0.002 popen_fork.py:66(_launch)
       49    0.001    0.000    0.013    0.000 __init__.py:2003(getLogger)
       33    0.001    0.000    0.008    0.000 _pslinux.py:1508(wrap_exceptions)
       68    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
        1    0.001    0.001    0.002    0.002 configparser.py:1317(__init__)
        2    0.001    0.000    0.144    0.072 enums.py:9(<module>)
       46    0.001    0.000    0.001    0.000 six.py:105(__init__)
        1    0.001    0.001    0.003    0.003 _psposix.py:60(<listcomp>)
        1    0.001    0.001    0.017    0.017 hashes.py:1(<module>)
       30    0.001    0.000    2.123    0.071 __init__.py:109(import_module)
       97    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
       87    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
       96    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
       45    0.001    0.000    0.001    0.000 {built-in method builtins.any}
        8    0.001    0.000    0.029    0.004 shutil.py:111(_fastcopy_sendfile)
       97    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_iscased}
        1    0.001    0.001    0.029    0.029 _common.py:5(<module>)
       47    0.001    0.000    0.001    0.000 __init__.py:189(_checkLevel)
       69    0.001    0.000    0.001    0.000 __init__.py:16(<lambda>)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
        8    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       59    0.001    0.000    0.001    0.000 __init__.py:21(__new__)
      105    0.001    0.000    0.001    0.000 typing.py:666(<genexpr>)
       60    0.001    0.000    0.001    0.000 misc.py:435(<listcomp>)
       56    0.001    0.000    0.001    0.000 os.py:750(decode)
       24    0.001    0.000    0.125    0.005 shutil.py:225(_stat)
        1    0.001    0.001    0.030    0.030 pdb.py:3(<module>)
       85    0.001    0.000    0.001    0.000 _compat_pickle.py:167(<genexpr>)
       60    0.001    0.000    0.001    0.000 registers.py:146(<dictcomp>)
       77    0.001    0.000    0.001    0.000 enum.py:192(<genexpr>)
       60    0.001    0.000    0.001    0.000 misc.py:436(<listcomp>)
        1    0.001    0.001    0.007    0.007 subprocess.py:1550(_execute_child)
        1    0.001    0.001    0.001    0.001 serialutil.py:161(SerialBase)
       12    0.001    0.000    0.002    0.000 textwrap.py:414(dedent)
       87    0.001    0.000    0.001    0.000 abc.py:7(abstractmethod)
       14    0.001    0.000    0.004    0.000 unix_termcap.py:11(get)
       23    0.001    0.000    0.001    0.000 key.py:49(__init__)
       78    0.001    0.000    0.001    0.000 signal.py:22(<lambda>)
       36    0.001    0.000    0.003    0.000 _collections_abc.py:664(__contains__)
        4    0.001    0.000    0.001    0.000 process.py:80(__init__)
       63    0.001    0.000    0.001    0.000 {method 'setter' of 'property' objects}
       60    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
        3    0.001    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
        6    0.001    0.000    0.001    0.000 posixpath.py:334(normpath)
       30    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
        1    0.001    0.001    0.001    0.001 process.py:40(<dictcomp>)
        4    0.001    0.000    0.001    0.000 util.py:163(__init__)
        1    0.001    0.001    0.005    0.005 config.py:1(<module>)
       10    0.001    0.000    0.004    0.000 text.py:90(__getattr__)
       76    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
       75    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
       77    0.001    0.000    0.001    0.000 signal.py:17(<lambda>)
       38    0.001    0.000    0.022    0.001 typing.py:1428(_alias)
        4    0.001    0.000    0.009    0.002 popen_fork.py:15(__init__)
        4    0.001    0.000    0.016    0.004 process.py:110(start)
       36    0.001    0.000    0.002    0.000 config.py:76(__init__)
        1    0.001    0.001    0.001    0.001 __init__.py:1287(<listcomp>)
       32    0.001    0.000    0.001    0.000 packing.py:296(make_single)
        1    0.001    0.001    0.001    0.001 registers.py:100(<dictcomp>)
       68    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.001    0.001    0.004    0.004 datatypes.py:32(<module>)
        5    0.001    0.000    2.482    0.496 __init__.py:2(<module>)
       53    0.001    0.000    0.001    0.000 six.py:177(_add_module)
       10    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
       30    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
       38    0.001    0.000    0.001    0.000 __init__.py:23(<genexpr>)
       79    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       68    0.001    0.000    0.001    0.000 enum.py:654(name)
        1    0.001    0.001    0.010    0.010 __init__.py:5(HTTPStatus)
